0,0.409113
0.2,0.409113
0.4,0.409113
0.6,0.434288
0.8,0.448892
1,0.458506
1.2,0.465359
1.4,0.470517
1.6,0.474556
1.8,0.477814
2,0.480501
2.2,0.482755
2.4,0.484672
2.6,0.486317
2.8,0.48774
2.807,0.536204
2.814,0.676652
2.821,0.812807
2.828,0.917495
2.835,1.00223
2.842,1.07295
2.849,1.13323
2.856,1.18539
2.863,1.23107
2.87,1.27145
2.877,1.30743
2.884,1.3397
2.891,1.3688
2.898,1.39519
2.905,1.41921
2.912,1.44117
6.3,1.43537
6.6,1.41609
6.9,1.39769
7.2,1.38012
7.5,1.3633
7.8,1.3472
8.1,1.33176
8.4,1.31695
8.7,1.30271
9,1.28903
9.3,1.27585
9.6,1.26317
9.9,1.25094
10.2,1.23915
10.5,1.22776
10.8,1.21677
11.1,1.20614
11.4,1.19586
11.7,1.18592
12,1.17629
