0,0.409113
0.2,0.409113
0.4,0.409113
0.6,0.434288
0.8,0.448892
1,0.458506
1.2,0.465359
1.4,0.470517
1.6,0.474556
1.8,0.477814
2,0.480501
2.2,0.482755
2.4,0.484672
2.6,0.486317
2.8,0.48774
2.825,0.536204
2.85,0.676652
2.875,0.812807
2.9,0.917495
2.925,1.00223
2.95,1.07295
2.975,1.13323
3,1.18539
3.025,1.23107
3.05,1.27145
3.075,1.30743
3.1,1.3397
3.125,1.3688
3.15,1.39519
3.175,1.41921
3.2,1.44117
6.025,1.43537
6.05,1.41609
6.075,1.39769
6.1,1.38012
6.125,1.3633
6.15,1.3472
6.175,1.33176
6.2,1.31695
6.225,1.30271
6.25,1.28903
6.275,1.27585
6.3,1.26317
6.325,1.25094
6.35,1.23915
6.375,1.22776
6.4,1.21677
6.425,1.20614
6.45,1.19586
6.475,1.18592
6.5,1.17629
6.525,1.16697
6.55,1.15793
6.575,1.14917
6.6,1.14067
6.625,1.13242
6.65,1.12441
6.675,1.11662
6.7,1.10905
6.725,1.1017
6.75,1.09454
6.775,1.08757
6.8,1.08078
6.825,1.07417
6.85,1.06773
6.875,1.06145
6.9,1.05531
6.925,1.04933
6.95,1.04349
6.975,1.03778
7,1.0322
7.025,1.02674
7.05,1.02141
7.075,1.01619
7.1,1.01107
7.125,1.00607
7.15,1.00116
7.175,0.996352
7.2,0.991638
7.225,0.987016
7.25,0.982481
7.275,0.978032
7.3,0.973664
7.325,0.969377
7.35,0.965167
7.375,0.961033
7.4,0.956972
7.425,0.952982
7.45,0.949062
7.475,0.945211
7.5,0.941426
7.525,0.937707
7.55,0.934051
7.575,0.930458
7.6,0.926927
7.625,0.923457
7.65,0.920046
7.675,0.916694
7.7,0.913399
7.725,0.91016
7.75,0.906977
7.775,0.903849
7.8,0.900774
7.825,0.897752
7.85,0.894781
7.875,0.891861
7.9,0.888991
7.925,0.886169
7.95,0.883394
7.975,0.880666
8,0.877983
8.025,0.875344
8.05,0.872748
8.075,0.870194
8.1,0.86768
8.125,0.865205
8.15,0.862769
8.175,0.860369
8.2,0.858005
8.225,0.855675
8.25,0.853378
8.275,0.851113
8.3,0.848879
8.325,0.846675
8.35,0.844499
8.375,0.842351
8.4,0.84023
8.425,0.838134
8.45,0.836063
8.475,0.834015
8.5,0.831991
8.525,0.82999
8.55,0.82801
8.575,0.826051
8.6,0.824113
8.625,0.822195
8.65,0.820297
8.675,0.818419
8.7,0.816559
8.725,0.814719
8.75,0.812898
8.775,0.811095
8.8,0.809311
8.825,0.807546
8.85,0.805799
8.875,0.804072
8.9,0.802362
8.925,0.800672
8.95,0.799001
8.975,0.797348
9,0.795715
9.025,0.794101
9.05,0.792506
9.075,0.79093
9.1,0.789374
9.125,0.787837
9.15,0.786319
9.175,0.78482
9.2,0.78334
9.225,0.78188
9.25,0.780438
9.275,0.779014
9.3,0.777609
9.325,0.776222
9.35,0.774852
9.375,0.7735
9.4,0.772165
9.425,0.770845
9.45,0.769542
9.475,0.768255
9.5,0.766982
9.525,0.765723
9.55,0.764479
9.575,0.763247
9.6,0.762028
9.625,0.760822
9.65,0.759627
9.675,0.758443
9.7,0.75727
9.725,0.756106
9.75,0.754952
9.775,0.753808
9.8,0.752671
9.825,0.751544
9.85,0.750424
9.875,0.749312
9.9,0.748207
9.925,0.74711
9.95,0.746019
9.975,0.744935
10,0.743859
